BoxType,center,normal,top,h,w,t
Emitter,"(-709.5, 75.0, -10.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 10.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 30.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 50.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 70.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 90.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 110.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 130.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 150.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 170.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 190.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 210.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 230.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 250.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 270.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 290.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 310.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 330.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 350.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 370.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 390.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 410.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 430.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 450.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 470.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 490.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 510.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 530.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 550.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 570.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-709.5, 75.0, 590.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -590.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -570.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -550.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -530.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -510.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -490.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -470.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -450.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -430.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -410.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -390.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -370.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -350.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -330.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -310.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -290.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -270.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -250.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -230.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -210.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -190.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -170.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -150.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -130.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -110.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -90.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -70.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -50.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -30.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, -10.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 10.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 30.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 50.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 70.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 90.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 110.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 130.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 150.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 170.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 190.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 210.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 230.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 250.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 270.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 290.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 310.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 330.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 350.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 370.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 390.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 410.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 430.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 450.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 470.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 490.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 510.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 530.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 550.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 570.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-729.5, 75.0, 590.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -590.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -570.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -550.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -530.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -510.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -490.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -470.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -450.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -430.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -410.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -390.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -370.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -350.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -330.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -310.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -290.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -270.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -250.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -230.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -210.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -190.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -170.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -150.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -130.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -110.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -90.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -70.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -50.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -30.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, -10.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 10.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 30.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 50.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 70.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 90.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 110.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 130.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 150.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 170.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 190.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 210.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 230.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 250.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 270.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 290.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 310.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 330.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 350.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 370.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 390.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 410.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 430.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 450.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 470.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 490.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 510.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 530.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 550.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 570.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-749.5, 75.0, 590.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -590.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -570.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -550.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -530.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -510.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -490.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -470.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -450.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -430.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -410.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -390.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -370.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -350.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -330.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -310.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -290.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -270.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -250.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -230.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -210.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -190.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -170.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -150.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -130.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -110.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -90.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -70.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -50.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -30.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, -10.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 10.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 30.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 50.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 70.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 90.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 110.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 130.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 150.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 170.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 190.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 210.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 230.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 250.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 270.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 290.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 310.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 330.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 350.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 370.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 390.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 410.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 430.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 450.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 470.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 490.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 510.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 530.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 550.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 570.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-769.5, 75.0, 590.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-789.5, 75.0, -590.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-789.5, 75.0, -570.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-789.5, 75.0, -550.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-789.5, 75.0, -530.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-789.5, 75.0, -510.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-789.5, 75.0, -490.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-789.5, 75.0, -470.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-789.5, 75.0, -450.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
Emitter,"(-789.5, 75.0, -430.0)","(0.7071067811865475, -0.7071067811865476, 0.0)",,10,10,0
